variavel,fonte,tipo_temporal,regra_bimestral,deflacionamento,unidade_final,observacao
transf_fed_fundeb_dest,transferencias_municipais_stn,fluxo,soma,ipca,r$_dez_2025,"set/2024 publicado em centavos pela fonte — corrigido (/100) na coleta de jun/2026; 24b5 valido; fonte NAO publicou o conteudo de 2020-11, 2022-10, 2023-11, 2024-11 e 2025-11 (arquivo AAAAMM com conteudo AAAAMM-1 entre set e nov, re-sincronizando em dez) — bimestres 20b6, 22b5, 23b6, 24b6 e 25b6 anulados; 2018-05 reconstruido por inferencia item+ordem validada (arquivo sem coluna destino); 2021-08 recuperado de arquivo corrigido pela fonte"
transf_fed_itr_dest,transferencias_municipais_stn,fluxo,soma,ipca,r$_dez_2025,"set/2024 publicado em centavos pela fonte — corrigido (/100) na coleta de jun/2026; 24b5 valido; fonte NAO publicou o conteudo de 2020-11, 2022-10, 2023-11, 2024-11 e 2025-11 (arquivo AAAAMM com conteudo AAAAMM-1 entre set e nov, re-sincronizando em dez) — bimestres 20b6, 22b5, 23b6, 24b6 e 25b6 anulados; 2018-05 reconstruido por inferencia item+ordem validada (arquivo sem coluna destino); 2021-08 recuperado de arquivo corrigido pela fonte"
transf_fed_outros_dest,transferencias_municipais_stn,fluxo,soma,ipca,r$_dez_2025,"set/2024 publicado em centavos pela fonte — corrigido (/100) na coleta de jun/2026; 24b5 valido; fonte NAO publicou o conteudo de 2020-11, 2022-10, 2023-11, 2024-11 e 2025-11 (arquivo AAAAMM com conteudo AAAAMM-1 entre set e nov, re-sincronizando em dez) — bimestres 20b6, 22b5, 23b6, 24b6 e 25b6 anulados; 2018-05 reconstruido por inferencia item+ordem validada (arquivo sem coluna destino); 2021-08 recuperado de arquivo corrigido pela fonte"
transf_fed_royalties_dest,transferencias_municipais_stn,fluxo,soma,ipca,r$_dez_2025,"set/2024 publicado em centavos pela fonte — corrigido (/100) na coleta de jun/2026; 24b5 valido; fonte NAO publicou o conteudo de 2020-11, 2022-10, 2023-11, 2024-11 e 2025-11 (arquivo AAAAMM com conteudo AAAAMM-1 entre set e nov, re-sincronizando em dez) — bimestres 20b6, 22b5, 23b6, 24b6 e 25b6 anulados; 2018-05 reconstruido por inferencia item+ordem validada (arquivo sem coluna destino); 2021-08 recuperado de arquivo corrigido pela fonte"
transf_fed_total,transferencias_municipais_stn,fluxo,soma,ipca,r$_dez_2025,"set/2024 publicado em centavos pela fonte (total estadual aparentava R$ 136.9 bi) — corrigido (/100) na coleta de jun/2026; 24b5 volta a ser valido; fonte NAO publicou o conteudo de 2020-11, 2022-10, 2023-11, 2024-11 e 2025-11 (arquivo AAAAMM com conteudo AAAAMM-1 entre set e nov, re-sincronizando em dez) — bimestres 20b6, 22b5, 23b6, 24b6 e 25b6 anulados; 2018-05 reconstruido por inferencia item+ordem validada (arquivo sem coluna destino); 2021-08 recuperado de arquivo corrigido pela fonte"
transf_est_icms,sefaz_ce_siconfi_anexo03,fluxo,soma,ipca,r$_dez_2025,coleta SICONFI completa de jun/2026: 2015-2025 (169 municipios)
transf_est_ipva,sefaz_ce_siconfi_anexo03,fluxo,soma,ipca,r$_dez_2025,coleta SICONFI completa de jun/2026: 2015-2025 (169 municipios)
transf_est_total,sefaz_ce_siconfi_anexo03,fluxo,soma,ipca,r$_dez_2025,coleta SICONFI completa de jun/2026: 2015-2025 (169 municipios)
invest_mun_valor,invest_municipal_siconfi,fluxo,soma,ipca,r$_dez_2025,ESTAGIO EMPENHADO: RREO Anexo 01 col. DESPESAS EMPENHADAS ATE O BIMESTRE (f) — o gabarito do Prof. Paulo usa despesa PAGA; empenhado supera o pago em ~7% a 37% a.a. (b1 front-loaded 2-3x; b6 0.6-0.75x); migrar para a coluna de despesas pagas do RREO exige re-coleta SICONFI
bnb_bnb_operacoes_credito_total,estban_bnb,estoque,ultimo_mes,ipca,r$_dez_2025,saldo ESTBAN verbete 160 (BNB) — estoque: somar dobraria; mesmo precedente de credito_PF/PJ no matriz_regras_modelo.csv (estoque → ultimo valor); credito registrado no municipio da AGENCIA (39 dos 184 municipios tem agencia BNB — regioes sem agencia ficam com 0 por construcao); fonte em R$ correntes
bnb_bnb_emprestimos_titulos_descontados,estban_bnb,estoque,ultimo_mes,ipca,r$_dez_2025,saldo ESTBAN verbete 161 (BNB) — ver observacao de bnb_bnb_operacoes_credito_total (municipio da agencia; 39 municipios)
bnb_bnb_financiamentos,estban_bnb,estoque,ultimo_mes,ipca,r$_dez_2025,saldo ESTBAN verbete 162 (BNB) — ver observacao de bnb_bnb_operacoes_credito_total (municipio da agencia; 39 municipios)
bnb_bnb_financiamentos_rurais_agricultura,estban_bnb,estoque,ultimo_mes,ipca,r$_dez_2025,saldo ESTBAN verbete 163 (BNB) — ver observacao de bnb_bnb_operacoes_credito_total (municipio da agencia; 39 municipios)
bnb_bnb_financiamentos_agroindustriais,estban_bnb,estoque,ultimo_mes,ipca,r$_dez_2025,saldo ESTBAN verbete 167 (BNB) — ver observacao de bnb_bnb_operacoes_credito_total (municipio da agencia; 39 municipios)
bnb_bnb_financiamentos_imobiliarios,estban_bnb,estoque,ultimo_mes,ipca,r$_dez_2025,saldo ESTBAN verbete 169 (BNB) — ver observacao de bnb_bnb_operacoes_credito_total (municipio da agencia; 39 municipios)
bnb_credito_bnb_total,estban_bnb,estoque,ultimo_mes,ipca,r$_dez_2025,total de credito BNB = verbete 160 puro — ver observacao de bnb_bnb_operacoes_credito_total (municipio da agencia; 39 municipios)
pop,populacao_ibge_sidra_6579,estoque_anual_replicado,ultimo_mes,nao_aplica,habitantes,valor anual replicado nos 12 meses — somar dobraria; 2022 e 2023 sem dado na fonte
siof_anual_empenhado,siof_ce_seplag,anual_replicado,ultimo_mes,ipca,r$_dez_2025,"valor anual replicado nos 12 meses (somar dobraria); cobertura 2016-2026: 2016-2025 do fechamento anual do rel. 544 (siof_regiao_anual.csv, elementos 51+52 somados, validado 318/318 celulas vs spike SCI-01) + 2026 da extracao corrente (siof_obras_regiao.csv); 2015 NaN (esquema antigo de 8 macrorregioes — crosswalk 14→8 e a T47); cod. 15 nao regionalizado excluido (sem rateio); 2026 sem IPCA do ano → _real vazio nesse ano"
siof_anual_pago,siof_ce_seplag,anual_replicado,ultimo_mes,ipca,r$_dez_2025,"valor anual replicado nos 12 meses (somar dobraria); cobertura 2016-2026: 2016-2025 do fechamento anual do rel. 544 (siof_regiao_anual.csv, elementos 51+52 somados, validado 318/318 celulas vs spike SCI-01) + 2026 da extracao corrente (siof_obras_regiao.csv); 2015 NaN (esquema antigo de 8 macrorregioes — crosswalk 14→8 e a T47); cod. 15 nao regionalizado excluido (sem rateio); 2026 sem IPCA do ano → _real vazio nesse ano"
siof_anual_dotacao,siof_ce_seplag,anual_replicado,ultimo_mes,ipca,r$_dez_2025,valor anual replicado nos 12 meses (somar dobraria); cobertura atual so 2026 (extracao corrente — o rel. 544 nao traz dotacao) — sem IPCA de 2026 a coluna _real fica vazia ate a serie cobrir o ano
siof_anual_n_acoes,siof_ce_seplag,anual_replicado,ultimo_mes,nao_aplica,n_acoes,valor anual replicado nos 12 meses; cobertura atual so 2026 (extracao corrente — o rel. 544 nao traz n_acoes)
siof_obras_pago_anual,siof_regiao_544,anual_replicado,ultimo_mes,ipca,r$_dez_2025,"split por elemento do rel. 544 (siof_regiao_anual.csv): pago acumulado do ano em obras (elemento 51), 2016-2025, replicado nos 12 meses (somar dobraria); 2015 NaN (esquema 8 macrorregioes, T47); cod. 15 nao regionalizado excluido (sem rateio)"
siof_equip_pago_anual,siof_regiao_544,anual_replicado,ultimo_mes,ipca,r$_dez_2025,"split por elemento do rel. 544 (siof_regiao_anual.csv): pago acumulado do ano em equipamentos (elemento 52), 2016-2025, replicado nos 12 meses (somar dobraria); 2015 NaN (esquema 8 macrorregioes, T47); cod. 15 nao regionalizado excluido (sem rateio)"
siof_obras_pago,siof_regiao_544,fluxo_bimestral_nativo,nativa_bimestral,ipca,r$_dez_2025,"FLUXO bimestral NATIVO do rel. 544 (siof_regiao_bimestral.csv, coleta T45): pago em obras (elemento 51) por regiao x bimestre 2016-2025 — NAO passa pelo painel mensal (o dado ja e bimestral: fluxo = diff do acumulado entre bimestres consecutivos; b1 = acumulado de fevereiro); entra no painel bimestral por merge direto em construir_painel_bimestral; fluxos negativos (anulacoes/estornos, 20 celulas) mantidos; cod. 15 nao regionalizado excluido (sem rateio); 2015 fora (esquema 8 macrorregioes, T47)"
siof_equip_pago,siof_regiao_544,fluxo_bimestral_nativo,nativa_bimestral,ipca,r$_dez_2025,"FLUXO bimestral NATIVO do rel. 544 (siof_regiao_bimestral.csv): pago em equipamentos (elemento 52) por regiao x bimestre 2016-2025 — NAO passa pelo painel mensal; ver observacao de siof_obras_pago; destaque de anulacao: 2022 b4 negativo em 13 regioes simultaneamente (~-3 mi cada, provavel reclassificacao contabil)"
siof_invest_pago,siof_regiao_544,fluxo_bimestral_nativo,nativa_bimestral,ipca,r$_dez_2025,"FLUXO bimestral NATIVO do rel. 544: investimento estadual pago = obras (51) + equipamentos (52) por regiao x bimestre 2016-2025 — NAO passa pelo painel mensal; ver observacao de siof_obras_pago"
invest_fed_direto_ce,invest_federal_rreo_portal,fluxo,soma,ipca,r$_dez_2025,serie estadual CE replicada nas 14 regioes
invest_fed_ne_rateado,invest_federal_rreo_portal,fluxo,soma,ipca,r$_dez_2025,serie estadual CE replicada nas 14 regioes (NE x 0.145)
invest_fed_nacional_rateado,invest_federal_rreo_portal,fluxo,soma,ipca,r$_dez_2025,serie estadual CE replicada nas 14 regioes (nacional x 0.022)
invest_fed_total,invest_federal_rreo_portal,fluxo,soma,ipca,r$_dez_2025,serie estadual CE replicada nas 14 regioes
ibcr_ce,bacen_sgs_25380,indice,media,nao_aplica,indice_com_ajuste_sazonal,media dos 2 meses (decisao T27) — DIVERGE do legado preparacao_modelo.py que usa ultimo_valor para ibcr/ibc_br
invest_total_ce_r_2010_mi,ipea_fbcf_x_share_pib,fluxo,soma,nao_aplica,r$_2010_milhoes,ja em R$ constantes de 2010 — nao re-deflacionar pelo IPCA; serie estadual replicada nas 14 regioes
share_pib_ce_br,ibge_contas_regionais,indice,media,nao_aplica,proporcao,share anual interpolado — identico nos 2 meses do bimestre
